,importances,indices,stdeviation,vocabulary
93,0.003596188954290597,36,0.0006049111642017264,came
94,0.0035914754429352096,139,0.00047773396328820993,last
95,0.003583113260238288,284,0.000558429914838373,want
96,0.0035631158259535013,57,0.000515534203666723,day
97,0.003534763043697139,242,0.000621847979893298,stars
98,0.003523570432809721,174,0.0005539895292326552,okay
99,0.0035210743969673972,216,0.0005916443882216347,say
100,0.003484543995812959,157,0.0005108866092860263,make
101,0.0034698755122478248,118,0.0005410715988734807,happy
102,0.0034501968742633453,43,0.0005251660720833933,chips
103,0.0034306051485254547,155,0.0005031683054133283,made
104,0.003423918048461766,262,0.0005646563707664471,think
105,0.003422362738657302,244,0.0005723412476439265,still
106,0.0034212664846825186,248,0.0005240369189968394,super
107,0.0034206522993633724,150,0.0005644822360787148,lot
108,0.0034122388111377227,65,0.0005155313904126789,disappointed
109,0.0034047924297184754,278,0.0005418354189619779,us
110,0.003403018763085063,295,0.0004991653587905373,worth
111,0.003402205416271305,158,0.0004921203593795084,many
112,0.003397459086176211,275,0.0005258645691483252,two
113,0.0033897090062946418,16,0.0005069186627918932,authentic
114,0.0033816607764304094,30,0.0005286309570534827,bit
115,0.0033482077192164535,94,0.0005558686713787891,flavor
116,0.003335787008107602,168,0.0005267216046519717,next
117,0.0033319036230609837,261,0.0005371632847795896,thing
118,0.003300852438387744,283,0.0005201933201707462,wait
119,0.00329515582900175,236,0.000552466148967305,special
120,0.0032615490872564086,269,0.0006190914937828695,took
121,0.0032544322209997244,137,0.0005035796824990713,large
122,0.0032260569417711183,225,0.0005211292163893028,side
123,0.0032031994392914993,263,0.0005497617442942117,though
124,0.003196006888970593,97,0.0005182408471253951,free
125,0.0031954518562203427,81,0.000589039141813689,everything
126,0.0031943017941419814,170,0.0005778097124805017,night
127,0.0031863633800950004,68,0.0005463143116816089,drinks
128,0.0031858333341656807,6,0.0005263803933504549,another
129,0.0031693461872189734,38,0.0004645625828227285,cheap
130,0.0031638852564306375,148,0.0005203415797262195,long
131,0.003104214524312465,29,0.0005580985165345711,big
132,0.003100615497279825,44,0.0005038921541278264,clean
