,importances,indices,stdevation,vocabulary
39,0.0034307085415508287,18,0.00026770604496741774,always
40,0.0034166527182377332,194,0.0004506961723949496,ever
41,0.0033671750153525517,602,0.00035085681290785694,tasty
42,0.0033594986775433953,52,0.00025857286621954937,better
43,0.003352272093739543,198,0.0003878081714610965,excellent
44,0.003346150529114711,231,0.00026780316916325106,fresh
45,0.0033364201849315285,400,0.0005571797658008782,nothing
46,0.003266881652989868,89,0.00027751890434218494,chicken
47,0.003234964390098835,141,0.0002900388072610751,definitely
48,0.0032327040099115823,378,0.00025455546960276255,much
49,0.003181258356114917,102,0.00024781893538581304,coffee
50,0.0031419771271723766,372,0.001199402973542707,minutes
51,0.0031106780971717936,37,0.0003979464857696747,average
52,0.0030667427470397854,193,0.0003523041417117225,even
53,0.0030564008059243285,597,0.00028040152850684246,tacos
54,0.003000227100372512,571,0.00034741734509763275,staff
55,0.00298864382754997,494,0.00020985155840956348,restaurant
56,0.00289827072897255,335,0.00029422693232956866,location
57,0.0028660823142159504,31,0.0011852983392518972,asked
58,0.0028544553780245605,553,0.00029975184066403254,slow
59,0.002848284130780904,256,0.0002812689547994895,got
60,0.002844413135091288,641,0.00027392842544897325,try
61,0.002777377123446284,17,0.0002641068941468517,also
62,0.0027441089011681834,348,0.0002187331186776977,lunch
63,0.002733641174751217,626,0.0013319280544036509,told
64,0.002724401343167428,479,0.00020837312800032164,quick
65,0.002702866144643407,283,0.0002235173581330856,hot
66,0.002695541482805796,507,0.000954005000784572,said
67,0.0026860331600305695,375,0.0009083603799185882,money
68,0.002671974179723198,576,0.0002509838783429401,stars
69,0.0026667953587419975,407,0.00041775145504339284,okay
70,0.0026532584817043395,509,0.00024646144468259897,salsa
71,0.0026369085054122423,86,0.00023207834801051988,cheese
72,0.0026204641428964927,105,0.00020893674877784388,come
73,0.0026057115272224663,670,0.00022215887054745947,way
74,0.002556590638496968,221,0.00020064886124560746,first
75,0.00255602123196492,93,0.0001780245753488364,chinese
76,0.002537411855706969,673,0.00023554936893494313,well
77,0.002526773485247,170,0.00021516689533170917,eat
78,0.0025231624723398927,517,0.00024581369044418257,sauce
79,0.0024751837954776136,439,0.0003731031614920581,perfect
80,0.0024740852938062606,366,0.00025022608385864994,menu
81,0.0024730682217523167,616,0.00020391936086138138,though
82,0.0024652058248857108,152,0.0004320962893025016,disappointed
